"Ano_Ref","id_mun","ES001","POP_URB","ES006","ES028","FN001","FN003","FN006","FN013","FN024","FN033","FN043","FN048","FN053","FN058"
2002,2905701,20396,164062,727,NA,9114762.99,244304.22,7349377.85,NA,NA,NA,NA,NA,NA,NA
2003,2913606,66578,161760,2319.6,2067.3,9946365.84,2544334.79,12054853,NA,0,0,NA,NA,NA,NA
2004,2932507,1141,17155,31.06,3.2,561495.29,13665.86,587164.73,NA,0,418000,NA,NA,NA,NA
2022,2909505,2233,NA,106.68,26.52,1133917.32,412522.3,1132657.47,132506.4,95713.42,158003.14,0,0,0,0
2022,2925303,104032,NA,4986.04,5276.31,53393343.21,22990288.88,53319451.41,5854836.76,1898644.47,5487457.23,0,0,0,0
2022,2931905,9397,NA,522.34,143.1,9506115.39,2426254.81,9637585.8,874160.37,1072432.47,2064226.33,0,0,0,0
2022,2206696,1524,NA,55.79,77.16,439454.76,0,464709.78,102364.97,0,7150.22,0,0,0,0
2019,2900207,6793,10628,197.51,31.93,2526558.07,778513.53,2050985.57,198383.24,0,0,NA,NA,NA,NA
2018,2902658,750,4522,0,0,915299.95,0,892271.83,500046.91,0,0,0,41917.5,0,0
2019,2906873,1434,25107,41.77,0,6890725.79,107198.25,6789930.77,535361.33,0,997365.53,NA,NA,NA,NA
2021,2907202,32500,42256,0,95,4598879.88,795046.1,4704255.34,141564.3,0,0,0,0,0,0
2018,2907707,2689,2734,85.33,0,1322370.75,163638.72,1238075.57,102441.33,2782211.52,3364944.99,NA,NA,0,0
2017,2910800,376833,575615,16153.38,4966.86,147129964.86,48987028.74,141174246.3,12147304.82,5744073.44,35252119.68,NA,NA,0,0
2018,2911006,10686,7361,0,0,1424633.61,0,1276269.25,95254.24,0,0,53326,92126,0,0
2019,2911204,26541,26541,0,0,5019506.21,0,5020921.68,402902.95,0,368769.98,0,0,0,0
2019,2913705,18653,17194,0,NA,4319399.73,152875,4343558.94,224649.23,0,37513.03,0,0,NA,NA
2018,2914901,10068,15646,477.47,478,5403236.9,1833675.85,5181369.02,337887,31510.92,130453.24,0,0,0,0
2019,2915205,3504,9185,97.04,16.35,2560082.85,416097.71,2618868.17,122805.83,0,58781.28,NA,NA,NA,NA
2021,2915403,3279,5223,118.17,39.39,1478517.82,493672.22,1555727.04,58603.71,69785.05,176666.75,0,0,0,0
2020,2916401,72499,74549,482.47,2.75,8899030.23,2608750.29,9962188.16,1836587.57,0,237529.37,0,0,NA,NA
2021,2917706,9333,18568,415.91,314.1,5888590.05,1027610.59,6080330.57,1043031.08,75233.57,262989.84,0,0,0,0
2020,2917706,9282,18475,357.49,363.37,5738513.6,1040416.06,5716984.7,678700.19,646957.23,920533.87,NA,NA,NA,NA
2021,2921708,13804,20441,461.55,0,6138255.55,2036860.72,6304155.96,1442500.87,17193.89,337602.06,0,0,0,0
2018,2931301,7230,13194,0,0,1575798.47,0,1556804.1,98210.71,0,509247.14,0,0,0,0
2012,2900207,288,9358,NA,3.88,611106.3,1842.84,598167.82,41721.96,NA,NA,NA,NA,NA,NA
2013,2904605,2517,48047,86.72,NA,9278620.56,164471.23,9694117.97,590743.88,39892.33,314616.18,NA,NA,NA,NA
2012,2905602,8311,24734,257.78,43.73,3187150.23,529253.84,3234951.17,97812.41,276000,NA,NA,NA,NA,NA
2014,2910727,8266,104448,259.1,45.1,14118223.53,444572.45,15636119.98,1358314.13,158556.06,2453554.49,NA,NA,NA,NA
2016,2913606,87933,150202,3772.06,1829.62,41414073.51,11079634.61,38214022.43,2365053.86,1739329.49,3221430.25,NA,NA,0,47424.96
2014,2919553,614,69778,14.16,68.13,13622938.96,86269.84,14064707.18,595783.39,634.96,222471.6,NA,NA,NA,NA
2015,2919926,15895,19737,581.9,368.75,4972506.95,1285495.53,5000373.69,497547.37,197297.39,473031.9,NA,NA,0,0
2012,2919959,620,2421,10,0,399671.94,0,408288.05,101362.3,NA,NA,0,0,0,0
2014,2920601,13092,26917,441.99,185.15,5931838.6,953239.02,6216963.69,185609.72,6417804.94,7241266.95,NA,NA,NA,NA
2016,2921708,14298,21204,484.53,5.45,4349597.69,1432091.46,4152847.6,245725.3,1199738.21,2084445.19,NA,NA,0,0
2012,2924801,11000,15506,20,30,1739443.99,50000,1845739.96,186480.65,NA,NA,0,0,NA,NA
2014,2925303,89504,117487,2875.15,3559.89,25639924.13,11076065.05,25255904.11,1871641.26,261415.2,1110856.67,NA,NA,NA,NA
