"Ano_Ref","id_mun","AG001","POP_URB","AG006","AG028","FN001","FN002","FN006","FN013","FN023","FN033","FN042","FN048","FN052","FN058"
2007,2202901,13538,14090,1403,695.2,1115461.5,1025680.85,1320995.04,208627.45,0,0,NA,NA,NA,NA
2005,2903201,117374,117965,7393.48,2732.8,9299457.71,8915316.04,9104008.94,431466.89,0,0,NA,NA,NA,NA
2002,2905701,172518,164062,13824.5,NA,9114762.99,8870458.77,7349377.85,NA,586540,NA,NA,NA,NA,NA
2003,2913606,165328,161760,8412,7061,9946365.84,7402031.05,12054853,NA,0,0,NA,NA,NA,NA
2004,2932507,17163,17155,631.82,234,561495.29,547829.43,587164.73,NA,418000,418000,NA,NA,NA,NA
2022,2909505,2938,NA,155.34,209.1,1133917.32,721395.02,1132657.47,132506.4,50808.17,158003.14,0,0,0,0
2022,2925303,129509,NA,6559.33,5180.59,53393343.21,30403054.33,53319451.41,5854836.76,3334838.88,5487457.23,0,0,0,0
2022,2931905,27229,NA,2040.51,1681.25,9506115.39,7079860.58,9637585.8,874160.37,910371.74,2064226.33,0,0,0,0
2022,2206696,2178,NA,115,108.77,439454.76,439454.76,464709.78,102364.97,0,7150.22,0,0,0,0
2019,2900207,12783,10628,629.08,399.65,2526558.07,1748044.54,2050985.57,198383.24,0,0,NA,NA,NA,NA
2018,2902658,5866,4522,272.26,1201,915299.95,915299.95,892271.83,500046.91,0,0,41917.5,41917.5,0,0
2019,2906873,30662,25107,1364.33,5159.82,6890725.79,6783527.54,6789930.77,535361.33,997365.53,997365.53,NA,NA,NA,NA
2021,2907202,73092,42256,8300,301,4598879.88,3761478.78,4704255.34,141564.3,0,0,0,0,0,0
2018,2907707,7441,2734,294.05,295,1322370.75,1158732.03,1238075.57,102441.33,0,3364944.99,NA,NA,0,0
2017,2910800,603956,575615,37684.33,58083.3,147129964.86,98142936.12,141174246.3,12147304.82,24955749.41,35252119.68,NA,NA,0,0
2018,2911006,8609,7361,726.64,326,1424633.61,1424633.61,1276269.25,95254.24,0,0,0,92126,0,0
2019,2911204,22915,26541,1334.25,1178.12,5019506.21,5019506.21,5020921.68,402902.95,368769.98,368769.98,0,0,0,0
2019,2913705,23336,17194,898.14,2391.57,4319399.73,4166524.73,4343558.94,224649.23,37513.03,37513.03,0,0,NA,NA
2018,2914901,23539,15646,1211.39,312,5403236.9,3569561.05,5181369.02,337887,98942.32,130453.24,0,0,0,0
2019,2915205,11667,9185,519.27,202.76,2560082.85,2143985.14,2618868.17,122805.83,0,58781.28,NA,NA,NA,NA
2021,2915403,5211,5223,242.74,72.7,1478517.82,984845.6,1555727.04,58603.71,93451.82,176666.75,0,0,0,0
2020,2916401,76795,74549,6281.38,3013.34,8899030.23,6290279.94,9962188.16,1836587.57,237529.37,237529.37,0,0,NA,NA
2021,2917706,21299,18568,1624.49,1450.49,5888590.05,4860979.46,6080330.57,1043031.08,140202.01,262989.84,0,0,0,0
2020,2917706,21266,18475,1597.52,796.28,5738513.6,4698097.54,5716984.7,678700.19,194810.8,920533.87,NA,NA,NA,NA
2021,2921708,22421,20441,932.99,846.16,6138255.55,4101394.83,6304155.96,1442500.87,276449.03,337602.06,0,0,0,0
2018,2931301,13196,13194,356.77,341,1575798.47,1575798.47,1556804.1,98210.71,509247.14,509247.14,0,0,0,0
2012,2900207,7001,9358,289.22,101.04,611106.3,609263.46,598167.82,41721.96,NA,NA,NA,NA,NA,NA
2013,2904605,57918,48047,3393.42,3252.25,9278620.56,8729975.47,9694117.97,590743.88,191716.09,314616.18,NA,NA,NA,NA
2012,2905602,25068,24734,1186.07,294.48,3187150.23,2657896.39,3234951.17,97812.41,NA,NA,NA,NA,NA,NA
2014,2910727,97346,104448,4734.23,6047.03,14118223.53,13673651.08,15636119.98,1358314.13,2047066.58,2453554.49,NA,NA,NA,NA
2016,2913606,158417,150202,9748.4,5338.49,41414073.51,30334438.9,38214022.43,2365053.86,940447.47,3221430.25,NA,NA,47424.96,47424.96
2014,2919553,76420,69778,4618.01,2027.11,13622938.96,13536669.12,14064707.18,595783.39,199355.87,222471.6,NA,NA,NA,NA
2015,2919926,20348,19737,2167.64,1600.95,4972506.95,3687011.42,5000373.69,497547.37,174470.82,473031.9,NA,NA,0,0
2012,2919959,4473,2421,199.93,252.26,399671.94,399671.94,408288.05,101362.3,293000,NA,0,0,0,0
2014,2920601,29783,26917,1261.98,646.93,5931838.6,4978599.58,6216963.69,185609.72,91731.49,7241266.95,NA,NA,NA,NA
2016,2921708,23510,21204,831.57,792.61,4349597.69,2917506.23,4152847.6,245725.3,489745.13,2084445.19,NA,NA,0,0
2012,2924801,18378,15506,709.49,783.88,1739443.99,1689443.99,1845739.96,186480.65,NA,NA,0,0,NA,NA
2014,2925303,107493,117487,4982.64,3630.95,25639924.13,14563859.08,25255904.11,1871641.26,736939.45,1110856.67,NA,NA,NA,NA
2016,2928406,16265,16462,1432,391.62,1609785.83,1482710.9,1899209.39,259816.71,46608.46,46608.46,0,NA,NA,NA
2014,2933208,41878,39500,5332,6494.3,9848945.63,9063593.39,10537361.09,1337412.18,198530.85,20945541.6,NA,NA,NA,NA
2016,2202133,2958,1634,180.27,138.3,301396.23,301296.23,304076.02,11256.74,0,0,0,0,0,0
2009,2919207,145808,156936,15774.88,NA,23570051.98,21484810.67,23268574.31,1945798.8,NA,NA,0,0,0,0
2011,2924652,6688,5813,243.15,6.69,518645,518645,548759,NA,NA,NA,0,0,NA,NA
2008,2928406,19209,14073,1020,261.53,558041.3,514801.33,744323.55,145282.24,12908.61,12908.61,NA,NA,NA,NA
2008,2101202,91110,75891,5135,3356,4444966,4315266,4149175,1104646,244602,244602,NA,NA,NA,NA
2010,2202901,14481,15693,250,907,1663385.74,1505762.03,142553.23,284127.35,2350,4700,0,0,0,0
2006,2906303,26660,27608,1241.73,459.74,1506399.7,1293161.08,1670094.08,132629.81,0,0,NA,NA,NA,NA
2006,2910057,56664,52430,4440.64,5761.96,3365881.77,2657985.87,2873320.41,1879608.59,0,0,NA,NA,NA,NA
2002,2910057,48129,45460,3336.8,NA,1367467.48,1178676.17,1241986.69,NA,NA,NA,NA,NA,NA,NA
2003,2111300,866224,889087,77098,78921,59834794,39110902,49879000,7140520,3503833,9702494,NA,NA,NA,NA
2004,2207009,17642,20121,1626,837,1384758,1126191,1245767.28,216345,0,277901.36,NA,NA,NA,NA
2001,2933208,25956,28712,3872,NA,NA,2253649,1926607.76,NA,NA,NA,NA,NA,NA,NA
2022,2907509,47917,NA,5270.42,4328.39,10491769.77,10491769.77,11530377.84,3259475.78,280468.1,280468.1,0,0,0,0
2022,2919207,199809,NA,26538,16967.47,86739633.96,74354971.38,80759734.48,7192794.88,9470221.12,68830398.05,0,0,0,0
2022,2931202,10946,NA,620,293.32,2733069.22,2733069.22,2733069.22,314262.32,19151,19151,0,0,0,0
2022,2205706,21337,NA,1738.95,650.11,5368891.38,5345696.96,5349169.45,492981.4,0,82304.55,0,0,0,0
